"regiao","ano","mes","carga_de_demanda"
"S","2011",3,12841.25
"S","2011",4,12105.31
"S","2011",5,11640.13
"S","2011",6,12038.81
"S","2011",7,11719.53
"S","2011",8,11796.53
"S","2011",9,12145.56
"S","2011",10,12468.71
"S","2011",11,13598.12
"S","2011",12,13688.06
"S","2012",1,14204.45
"S","2012",2,14802.85
"S","2012",3,14957.59
"S","2012",4,13520.88
"S","2012",5,12569.84
"S","2012",6,12465.81
"S","2012",7,12554.15
"S","2012",8,12613.21
"S","2012",9,12984.61
"S","2012",10,13248.78
"S","2012",11,14432.13
"S","2012",12,15063.71
"S","2013",1,15217.49
"S","2013",2,15568.46
"S","2013",3,14387.86
"S","2013",4,13559.21
"S","2013",5,13187.88
"S","2013",6,13031.02
"S","2013",7,13470.85
"S","2013",8,12917.64
"S","2013",9,13837.25
"S","2013",10,13082.03
"S","2013",11,14762.47
"S","2013",12,14942.43
"S","2014",1,17229.56
"S","2014",2,17780.25
"S","2014",3,14857.78
"S","2014",4,15013.73
"S","2014",5,13105.63
"S","2014",6,13089.39
"S","2014",7,12852.36
"S","2014",8,12734.57
"S","2014",9,12845.5
"S","2014",10,15254.08
"S","2014",11,14772.29
"S","2014",12,16253.5
"S","2015",1,16574.72
"S","2015",2,16397.29
"S","2015",3,15906.01
"S","2015",4,13935.14
"S","2015",5,12921.68
"S","2015",6,12749.67
"S","2015",7,12654.05
"S","2015",8,13076.76
"S","2015",9,13867.35
"S","2015",10,13496.18
"S","2015",11,13913.51
"S","2015",12,14511.04
"S","2016",1,16219.19
"S","2016",2,16361.55
"S","2016",3,15965.95
"S","2016",4,15840.08
"S","2016",5,0
"S","2016",6,0
"S","2016",7,0
"S","2016",8,0
"S","2016",9,0
"S","2016",10,0
"S","2016",11,0
"S","2016",12,0
"SE/CO","2000",1,31290.9
"SE/CO","2000",2,32986.4
"SE/CO","2000",3,33556.6
"SE/CO","2000",4,34501.6
"SE/CO","2000",5,34804.3
"SE/CO","2000",6,34928.9
"SE/CO","2000",7,34677.1
"SE/CO","2000",8,34469.6
"SE/CO","2000",9,34569
"SE/CO","2000",10,33751.3
"SE/CO","2000",11,32826.8
"SE/CO","2000",12,33519.1
"SE/CO","2001",1,32686.1
"SE/CO","2001",2,34155.9
"SE/CO","2001",3,34335.1
"SE/CO","2001",4,35775.7
"SE/CO","2001",5,35025
"SE/CO","2001",6,27337.7
"SE/CO","2001",7,25957.1
"SE/CO","2001",8,25626.5
"SE/CO","2001",9,26030.3
"SE/CO","2001",10,25693.5
"SE/CO","2001",11,26157.15
"SE/CO","2001",12,26460
"SE/CO","2002",1,27933.93
"SE/CO","2002",2,29554.27
"SE/CO","2002",3,30700.89
"SE/CO","2002",4,32256.48
"SE/CO","2002",5,32021.45
"SE/CO","2002",6,32321.26
"SE/CO","2002",7,31722.12
"SE/CO","2002",8,32079.64
"SE/CO","2002",9,32279.14
"SE/CO","2002",10,32872.96
"SE/CO","2002",11,31773.54
"SE/CO","2002",12,31904.22
"SE/CO","2003",1,31281.62
"SE/CO","2003",2,33368.87
"SE/CO","2003",3,33152.7
"SE/CO","2003",4,34189.29
"SE/CO","2003",5,34073.2
"SE/CO","2003",6,34044.96
"SE/CO","2003",7,33442.04
"SE/CO","2003",8,33857
"SE/CO","2003",9,33525.14
"SE/CO","2003",10,33480.04
"SE/CO","2003",11,33493.66
"SE/CO","2003",12,33318.16
"SE/CO","2004",1,32481.87
"SE/CO","2004",2,33982.99
"SE/CO","2004",3,34605.68
"SE/CO","2004",4,35278.44
"SE/CO","2004",5,35658.55
"SE/CO","2004",6,35842.39
"SE/CO","2004",7,35782.8
"SE/CO","2004",8,35872.29
"SE/CO","2004",9,36199.86
"SE/CO","2004",10,36021.88
"SE/CO","2004",11,35548.75
"SE/CO","2004",12,35039.48
"SE/CO","2005",1,34278.19
"SE/CO","2005",2,36814.73
"SE/CO","2005",3,36745.64
"SE/CO","2005",4,37501.25
"SE/CO","2005",5,37629.09
"SE/CO","2005",6,36760.13
"SE/CO","2005",7,36087.46
"SE/CO","2005",8,37388
"SE/CO","2005",9,36682.56
"SE/CO","2005",10,36987.51
"SE/CO","2005",11,36020.45
"SE/CO","2005",12,35941.17
"SE/CO","2006",1,35594.08
"SE/CO","2006",2,37449.83
"SE/CO","2006",3,37511.91
"SE/CO","2006",4,38450.4
"SE/CO","2006",5,37888.17
"SE/CO","2006",6,37374.32
"SE/CO","2006",7,38030.85
"SE/CO","2006",8,38700.21
"SE/CO","2006",9,37809.97
"SE/CO","2006",10,37390.11
"SE/CO","2006",11,37114.05
"SE/CO","2006",12,36860.81
"SE/CO","2007",1,36809.27
"SE/CO","2007",2,38474.24
"SE/CO","2007",3,39443.77
"SE/CO","2007",4,40214.2
"SE/CO","2007",5,39813.55
"SE/CO","2007",6,39070.39
"SE/CO","2007",7,38884.07
"SE/CO","2007",8,38725.3
"SE/CO","2007",9,39281.05
"SE/CO","2007",10,39518
"SE/CO","2007",11,37735.5
"SE/CO","2007",12,39121.22
"SE/CO","2008",1,37302.73
"SE/CO","2008",2,38405.13
"SE/CO","2008",3,39547.64
"SE/CO","2008",4,39946.09
"SE/CO","2008",5,40225.45
"SE/CO","2008",6,40159.78
"SE/CO","2008",7,40250.68
"SE/CO","2008",8,40322.1
"SE/CO","2008",9,40391.22
"SE/CO","2008",10,40160.09
"SE/CO","2008",11,37729.83
"SE/CO","2008",12,36993.36
"SE/CO","2009",1,38202.82
"SE/CO","2009",2,38648.9
"SE/CO","2009",3,40431.05
"SE/CO","2009",4,38387.72
"SE/CO","2009",5,39159.43
"SE/CO","2009",6,38017.65
"SE/CO","2009",7,38891.73
"SE/CO","2009",8,39516.59
"SE/CO","2009",9,39551.21
"SE/CO","2009",10,38959.95
"SE/CO","2009",11,41937.78
"SE/CO","2009",12,41394.53
"SE/CO","2010",1,41683.61
"SE/CO","2010",2,43984.68
"SE/CO","2010",3,42976.25
"SE/CO","2010",4,41342.76
"SE/CO","2010",5,41384.36
"SE/CO","2010",6,40717.19
"SE/CO","2010",7,40778.43
"SE/CO","2010",8,41489.14
"SE/CO","2010",9,41615.37
"SE/CO","2010",10,40728.32
"SE/CO","2010",11,42247.44
"SE/CO","2010",12,43033.32
"SE/CO","2011",1,44172.7
"SE/CO","2011",2,44439.02
"SE/CO","2011",3,43412.29
"SE/CO","2011",4,43449.32
"SE/CO","2011",5,41968.05
"SE/CO","2011",6,41492.41
"SE/CO","2011",7,42113.17
"SE/CO","2011",8,42966.13
"SE/CO","2011",9,42865.04
"SE/CO","2011",10,42724.64
"SE/CO","2011",11,43601.2
"SE/CO","2011",12,43380.44
"SE/CO","2012",1,43880.88
"SE/CO","2012",2,47162.06
"SE/CO","2012",3,46860.46
"SE/CO","2012",4,44814.88
"SE/CO","2012",5,43526.83
"SE/CO","2012",6,43294.12
"SE/CO","2012",7,42674.99
"SE/CO","2012",8,42564.67
"SE/CO","2012",9,45202.66
"SE/CO","2012",10,47101.72
"SE/CO","2012",11,43910.51
"SE/CO","2012",12,46755.32
"SE/CO","2013",1,46632.09
"SE/CO","2013",2,47801.73
"SE/CO","2013",3,47787.11
"SE/CO","2013",4,43985.11
"SE/CO","2013",5,44277.26
"SE/CO","2013",6,43905.76
"SE/CO","2013",7,42950.37
"SE/CO","2013",8,43840.33
"SE/CO","2013",9,44286.43
"SE/CO","2013",10,45925.72
"SE/CO","2013",11,46879.5
"SE/CO","2013",12,48238.49
"SE/CO","2014",1,49372.49
"SE/CO","2014",2,50621.14
"SE/CO","2014",3,48866.57
"SE/CO","2014",4,46885.88
"SE/CO","2014",5,44614.98
"SE/CO","2014",6,44055.05
"SE/CO","2014",7,43898.6
"SE/CO","2014",8,43923.71
"SE/CO","2014",9,44430.73
"SE/CO","2014",10,48241.97
"SE/CO","2014",11,45569.37
"SE/CO","2014",12,44702.52
"SE/CO","2015",1,51497.35
"SE/CO","2015",2,49343.23
"SE/CO","2015",3,47931.07
"SE/CO","2015",4,44853.22
"SE/CO","2015",5,42809.37
"SE/CO","2015",6,42189.39
"SE/CO","2015",7,41518.37
"SE/CO","2015",8,42214.94
"SE/CO","2015",9,47260.81
"SE/CO","2015",10,48143.94
"SE/CO","2015",11,46638.59
"SE/CO","2015",12,46576.11
"SE/CO","2016",1,46795.49
"SE/CO","2016",2,48902.16
"SE/CO","2016",3,47661.14
"SE/CO","2016",4,47289.94
"SE/CO","2016",5,0
"SE/CO","2016",6,0
"SE/CO","2016",7,0
"SE/CO","2016",8,0
"SE/CO","2016",9,0
"SE/CO","2016",10,0
"SE/CO","2016",11,0
"SE/CO","2016",12,0
"SIN","2000",1,49218.8
"SIN","2000",2,51495
"SIN","2000",3,52180.2
"SIN","2000",4,54133.6
"SIN","2000",5,54251.3
"SIN","2000",6,54335
"SIN","2000",7,53348.8
"SIN","2000",8,53439.1
"SIN","2000",9,53179
"SIN","2000",10,52767.2
"SIN","2000",11,51984.4
"SIN","2000",12,52765
"SIN","2001",1,51141.8
"SIN","2001",2,53661.4
"SIN","2001",3,54067.3
"SIN","2001",4,55099.1
"SIN","2001",5,54593.3
"SIN","2001",6,44846
"SIN","2001",7,42379.6
"SIN","2001",8,41898
"SIN","2001",9,42314.3
"SIN","2001",10,42308.8
"SIN","2001",11,42055
"SIN","2001",12,42780.7
"SIN","2002",1,43941.88
"SIN","2002",2,46330.07
"SIN","2002",3,48226.65
"SIN","2002",4,49816.9
"SIN","2002",5,49843.55
"SIN","2002",6,49933.2
"SIN","2002",7,49122.89
"SIN","2002",8,49304.51
"SIN","2002",9,49396.82
"SIN","2002",10,50756.92
"SIN","2002",11,49816.62
"SIN","2002",12,49858.67
"SIN","2003",1,49010.87
"SIN","2003",2,51685.11
"SIN","2003",3,51446.02
"SIN","2003",4,53300.86
"SIN","2003",5,53514.61
"SIN","2003",6,53206.79
"SIN","2003",7,52229.4
"SIN","2003",8,51946.84
"SIN","2003",9,52414.37
"SIN","2003",10,52689.48
"SIN","2003",11,52556.14
"SIN","2003",12,52523.1
"SIN","2004",1,50892.48
"SIN","2004",2,53255.88
"SIN","2004",3,54732.73
"SIN","2004",4,55619.31
"SIN","2004",5,55770.89
"SIN","2004",6,56108.16
"SIN","2004",7,55996.85
"SIN","2004",8,56452.6
"SIN","2004",9,56795.06
"SIN","2004",10,56507.13
"SIN","2004",11,55619.86
"SIN","2004",12,55690.26
"SIN","2005",1,53988.98
"SIN","2005",2,57770.71
"SIN","2005",3,58386.28
"SIN","2005",4,58991.16
"SIN","2005",5,59103.02
"SIN","2005",6,57962.9
"SIN","2005",7,56834.95
"SIN","2005",8,58357.33
"SIN","2005",9,57718.23
"SIN","2005",10,58418.82
"SIN","2005",11,56979.25
"SIN","2005",12,56945.17
"SIN","2006",1,56369.47
"SIN","2006",2,59149.52
"SIN","2006",3,59526.06
"SIN","2006",4,60389.46
"SIN","2006",5,59788.63
"SIN","2006",6,59412.29
"SIN","2006",7,59861.88
"SIN","2006",8,60284.55
"SIN","2006",9,59557.71
"SIN","2006",10,59272.6
"SIN","2006",11,58916.04
"SIN","2006",12,58894.53
"SIN","2007",1,58818.04
"SIN","2007",2,61147.56
"SIN","2007",3,62749.02
"SIN","2007",4,62894.56
"SIN","2007",5,62793
"SIN","2007",6,61941.15
"SIN","2007",7,61742.07
"SIN","2007",8,61424.18
"SIN","2007",9,61701.32
"SIN","2007",10,62534.7
"SIN","2007",11,60738.01
"SIN","2007",12,61960.19
"SIN","2008",1,59580.51
"SIN","2008",2,61674.36
"SIN","2008",3,63039.64
"SIN","2008",4,63641.71
"SIN","2008",5,64155
"SIN","2008",6,63886.75
"SIN","2008",7,63756.58
"SIN","2008",8,63853
"SIN","2008",9,64052.28
"SIN","2008",10,63506.91
"SIN","2008",11,60934.91
"SIN","2008",12,59880.83
"SIN","2009",1,61131.09
"SIN","2009",2,62614.18
"SIN","2009",3,64810.32
"SIN","2009",4,61510.25
"SIN","2009",5,62430.5
"SIN","2009",6,61035.39
"SIN","2009",7,61511.67
"SIN","2009",8,62063.73
"SIN","2009",9,62536.23
"SIN","2009",10,62031.53
"SIN","2009",11,67227
"SIN","2009",12,65845
"SIN","2010",1,66766.46
"SIN","2010",2,70478.14
"SIN","2010",3,69675.31
"SIN","2010",4,65477.85
"SIN","2010",5,65448.27
"SIN","2010",6,64737.02
"SIN","2010",7,64718.64
"SIN","2010",8,65578.12
"SIN","2010",9,65572.02
"SIN","2010",10,65005.52
"SIN","2010",11,68083.6
"SIN","2010",12,68823.3
"SIN","2011",1,70461.07
"SIN","2011",2,70661.29
"SIN","2011",3,68780.28
"SIN","2011",4,68993.57
"SIN","2011",5,67014.48
"SIN","2011",6,66268.2
"SIN","2011",7,66533.82
"SIN","2011",8,68542.03
"SIN","2011",9,69257.63
"SIN","2011",10,68665.91
"SIN","2011",11,69957.76
"SIN","2011",12,71135.29
"SIN","2012",1,71701.02
"SIN","2012",2,76261.88
"SIN","2012",3,75340.37
"SIN","2012",4,72883.31
"SIN","2012",5,69908.78
"SIN","2012",6,69752.69
"SIN","2012",7,68280.9
"SIN","2012",8,68068.43
"SIN","2012",9,72524.36
"SIN","2012",10,75124.05
"SIN","2012",11,72140.78
"SIN","2012",12,76028.66
"SIN","2013",1,74125.66
"SIN","2013",2,77122.7
"SIN","2013",3,77604.68
"SIN","2013",4,72608.99
"SIN","2013",5,71209.74
"SIN","2013",6,71013.41
"SIN","2013",7,71125.41
"SIN","2013",8,72240.15
"SIN","2013",9,72990.94
"SIN","2013",10,75141.52
"SIN","2013",11,76840.84
"SIN","2013",12,78982.91
"SIN","2014",1,83295.29
"SIN","2014",2,84920.41
"SIN","2014",3,80213.53
"SIN","2014",4,77798.7
"SIN","2014",5,73403.02
"SIN","2014",6,72965.09
"SIN","2014",7,72182.47
"SIN","2014",8,71900.27
"SIN","2014",9,73592.73
"SIN","2014",10,78787.89
"SIN","2014",11,75772.04
"SIN","2014",12,76975.84
"SIN","2015",1,84493.97
"SIN","2015",2,83194.19
"SIN","2015",3,80194.62
"SIN","2015",4,76302.19
"SIN","2015",5,71150.7
"SIN","2015",6,70775.88
"SIN","2015",7,69159.19
"SIN","2015",8,71094.42
"SIN","2015",9,78856.3
"SIN","2015",10,78822.66
"SIN","2015",11,77994.53
"SIN","2015",12,78514.66
"SIN","2016",1,77913.89
"SIN","2016",2,82116.72
"SIN","2016",3,79760.62
"SIN","2016",4,80968.65
"SIN","2016",5,0
"SIN","2016",6,0
"SIN","2016",7,0
"SIN","2016",8,0
"SIN","2016",9,0
"SIN","2016",10,0
"SIN","2016",11,0
"SIN","2016",12,0
